Title,"You can view additional Distinctive Hand Crafted items at my shop 
on Etsy or Ebay:  MissLindaT

Weed is made with high quality Stained Glass and Materials. This is a custom made product from start to finish. 

Weed has been exclusively designed. It is invariably a balance between artistic expression and superlative technique.


First, each piece has been precisely cut with the end product in mind. Then, precision holes have been drilled into the glass to create a uniformed appearance. Next, each piece has been water-bathe and hand sanded to produce smooth edges for appeal and safety. Finally, it is assembled with impeccable detail to ensure a well-crafted product that will not only be attractive to the eyes, but the ears as well.

Product Dimensions

Stained Glass Dimensions: 2""



Materials

Quality Stained Glass
Complicit Leather and Metal Lobster Clasp Chain - 18"" (lead free) - Black
Premium Nylon Coated Stainless Steel Wire -- 20lb Test (0.024"") -- Black
Super Strong Copper Alloy Connection Sleeves -- (0.25"") -- Black
Czech Seed Beads (6/0) - Silver Foil Lined
Crystal Prisms (if applicable) 
Tibetan Silver Zinc Alloy Metal - Lead Free

NOTE: Colors may have slight variation 

Stained glass, is an art which, requires artistic skill to conceive an appropriate and workable design, and engineering skills to assemble the piece.

You can view additional Distinctive Hand Crafted items at my shop 
on Etsy or Ebay:  MissLindaT

Hand Crafted in U.S.A.

Hand Signed by Artist"
Body,Marijuana Leaf Cannabis Weed Stained Glass Necklace - Free Shipping! - $10 (Orange City)
Title,Text Now
Body,Free Weed. Pickup anytime. Text now to place your order
Title,"MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ M J MJ MJ MJ 

OPEN LATE UNTIL 10PM TONIGHT!!!

STARBUDS AURORA 
1408 Del Mar Pky
Aurora, CO 80010

 show contact info


PLENTY of BUDS, CONCENTRATES, EDIBLES, TOPICAL, and PRE-ROLLS!!!!

1/8th SHAKE for $25
Select TOP SHELF 1/8th for $40 
$8 PRE-ROLLED JOINTS!

DONT FORGET TO FIND US ON FACEBOOK AND TWITTER!!!
WE WILL BE GIVING AWAY CONCERT TICKETS REGULARLY!!!

AND FINALLY
Give us a favorable review on Weedmaps, receive 10% OFF YOUR ENTIRE ORDER!
COME IN TODAY AND JOIN OUR FAMILY!

5280 JUST GOT HIGHER!"
Body,NEED WEED? OPEN LATE!!! STARBUDS AURORA (1408 Del Mar Pky)
Title,"MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ MJ M J MJ MJ MJ 

COME VISIT AURORA'S NEWEST MARIJUANA DISPENSARY!!!

OPEN LATE UNTIL 10PM TONIGHT!!!

STARBUDS AURORA 
1408 Del Mar Pky
Aurora, CO 80010

 show contact info


PLENTY of BUDS, CONCENTRATES, EDIBLES, TOPICAL, and PRE-ROLLS!!!!

SPECIALS!!

10% your entire order if you show us your Weed Maps review!
1/8th SHAKE for $20
Select TOP SHELF 2gs/$25
Select TOP SHELF 1/8th(3.5gs) for $40 
$8 PRE-ROLLED JOINTS!

Ask about our NEW NEIGHBOR SPECIALS!!
And don't forget to ask about our punch card program. 

weed, mmj, marijuana, buds, dabs, wax, shatter, live resin, starbuds, aurora, dispensary, hash"
Body,NEED WEED?? STARBUDS AURORA - REC- NOW OPEN UNTIL 10PM!! (1408 Del Mar Pky)
Title,"Looking to buy 1/8-1/4 of a high sativa,
if you sell quality weed please text me.
Let me know if you deliver or where in town you are."
Body,Weed
